name,slug,id,release,runtime,rewatched,rating,liked,reviewed,date
Trick 'r Treat,trick-r-treat,37483,2007,,0,4,0,0,2025-10-10
Final Destination Bloodlines,final-destination-bloodlines,502622,2025,,0,8,1,1,2025-10-03
Final Destination 5,final-destination-5,10387,2011,,0,6,0,1,2025-10-03
The Final Destination,the-final-destination,39351,2009,,0,1,0,1,2025-10-02
Final Destination 3,final-destination-3,47306,2006,,0,9,1,1,2025-09-27
Re-Animator,re-animator,50851,1985,,0,8,0,1,2025-09-26
House,house,35925,1977,,1,9,1,1,2025-09-26
The Conjuring,the-conjuring,106262,2013,,0,2,0,1,2025-09-26
Final Destination 2,final-destination-2,47237,2003,,0,6,0,1,2025-09-25
The Big Shave,the-big-shave,16840,1967,,0,,0,1,2025-09-25
Caleb Hearon: Model Comedian,caleb-hearon-model-comedian,1415782,2025,,0,,0,0,2025-09-23
Silver Linings Playbook,silver-linings-playbook,69151,2012,,0,7,0,0,2025-08-14
"Dude, Where's My Car?",dude-wheres-my-car,47562,2000,,0,3,0,1,2025-08-07
Saw X,saw-x,856036,2023,,0,9,1,1,2025-08-03
Final Destination,final-destination,47068,2000,,0,7,1,1,2025-08-02
Stage Fright,stage-fright-1987,38994,1987,,0,1,0,1,2025-08-01
Spiral: From the Book of Saw,spiral-from-the-book-of-saw,530071,2021,,0,6,0,1,2025-08-01
Jigsaw,jigsaw-2017,225503,2017,,0,2,0,1,2025-08-01
Saw 3D,saw-3d,23593,2010,,0,2,0,1,2025-07-31
Horrible Bosses,horrible-bosses,14285,2011,,0,7,0,1,2025-07-31
Saw VI,saw-vi,37687,2009,,0,8,1,1,2025-07-30
Saw V,saw-v,44889,2008,,0,6,0,1,2025-07-30
The Fun House,the-fun-house-1973,34614,1973,,0,2,0,1,2025-07-29
The Wedding Singer,the-wedding-singer,45699,1998,,0,8,1,1,2025-07-28
Escape Room,escape-room-2017,381684,2017,,0,1,0,1,2025-07-28
V/H/S,v-h-s,70737,2012,,0,5,0,1,2025-07-28
Drinking Buddies,drinking-buddies,126575,2013,,0,9,1,0,2025-07-27
Scream VI,scream-vi,839244,2023,,0,3,0,1,2025-07-25
Happy Gilmore,happy-gilmore,46987,1996,,1,10,1,1,2025-07-24
Saw IV,saw-iv,51461,2007,,0,6,1,1,2025-07-21
(500) Days of Summer,500-days-of-summer,39350,2009,,0,8,1,0,2025-07-10
Saw III,saw-iii,51842,2006,,0,4,0,1,2025-07-10
Saw II,saw-ii,51841,2005,,0,7,1,1,2025-07-09
Saw,saw,51875,2004,,0,7,1,1,2025-07-08
Companion,companion-2025,977172,2025,,0,5,0,1,2025-07-08
Invasion of the Body Snatchers,invasion-of-the-body-snatchers-1978,44952,1978,,0,6,0,1,2025-07-06
Alien,alien,51714,1979,,0,7,0,1,2025-07-05
Kiki's Delivery Service,kikis-delivery-service,41360,1989,,1,10,1,0,2025-05-18
The Wolf of Wall Street,the-wolf-of-wall-street,86114,2013,,0,8,0,0,2025-05-17
White Chicks,white-chicks,44750,2004,,0,3,0,0,2025-05-01
The Super Mario Bros. Movie,the-super-mario-bros-movie,432302,2023,,0,10,1,1,2025-04-24
Scott Pilgrim vs. the World,scott-pilgrim-vs-the-world,37833,2010,,1,,1,1,2025-04-13
Scott Pilgrim vs. the World,scott-pilgrim-vs-the-world,37833,2010,,1,,1,1,2025-04-12
Psycho,psycho,51578,1960,,0,6,0,1,2025-03-17
