name,slug,id,release,runtime,rewatched,rating,liked,reviewed,date
Phantom of the Paradise,phantom-of-the-paradise,34615,1974,,0,10,1,0,2025-10-14
Spring Breakers,spring-breakers,96109,2012,,0,10,1,0,2025-10-12
After the Hunt,after-the-hunt-2025,1149140,2025,,0,3,0,1,2025-09-29
Dante's Peak,dantes-peak,46982,1997,,0,4,0,0,2025-09-23
"sex, lies, and videotape",sex-lies-and-videotape,51052,1989,,1,9,1,0,2025-09-16
The Doom Generation,the-doom-generation,43792,1995,,1,10,1,1,2025-08-18
Weapons,weapons-2025,972109,2025,,0,9,1,1,2025-08-10
Nymphomaniac: Vol. II,nymphomaniac-volume-ii,174195,2013,,0,2,0,1,2025-08-09
Nymphomaniac: Vol. I,nymphomaniac-volume-i,181937,2013,,0,4,0,0,2025-08-08
Tampopo,tampopo,44970,1985,,0,10,1,0,2025-08-04
Millennium Mambo,millennium-mambo,45195,2001,,0,7,1,1,2025-08-04
The Fantastic Four: First Steps,the-fantastic-four-first-steps,543967,2025,,0,7,0,0,2025-07-25
Superman,superman-2025,957050,2025,,0,9,1,0,2025-07-16
Crash,crash,51268,1996,,0,10,1,1,2025-07-05
"To Wong Foo, Thanks for Everything! Julie Newmar",to-wong-foo-thanks-for-everything-julie-newmar,47354,1995,,0,10,1,0,2025-06-28
The Piano Teacher,the-piano-teacher,50791,2001,,0,9,1,1,2025-06-25
Fantastic Mr. Fox,fantastic-mr-fox,46344,2009,,0,8,1,0,2025-06-20
Memories of Murder,memories-of-murder,45312,2003,,0,7,0,0,2025-06-17
Brokeback Mountain,brokeback-mountain,51909,2005,,0,8,1,1,2025-05-28
The Girl Who Leapt Through Time,the-girl-who-leapt-through-time-1983,4388,1983,,0,6,0,0,2025-05-14
Love & Pop,love-pop,58621,1998,,0,10,1,1,2025-05-09
Mishima: A Life in Four Chapters,mishima-a-life-in-four-chapters,34829,1985,,0,9,1,0,2025-05-07
Death in Venice,death-in-venice,48232,1971,,0,8,1,1,2025-05-04
Sinners,sinners-2025,1116600,2025,,0,7,0,0,2025-05-01
Tenet,tenet,506032,2020,,0,,0,1,2025-04-21
